all lines with 'Suav'...:
Tag	Token	Sentence
0	suavium	Quod_0 si_0 te_0 ,_0 o_0 sacerdos_0 Dei_PRS-B ,_0 quicumque_0 es_0 ,_0 Martianus_PRS-B noster_0 septem_0 disciplinis_0 erudiit_0 ,_0 id_0 est_0 ,_0 si_0 te_0 in_0 grammaticis_0 docuit_0 legere_0 ,_0 in_0 dialecticis_0 altercationum_0 propositiones_0 advertere_0 ,_0 in_0 rethoricis_0 genera_0 metrorum_0 agnoscere_0 ,_0 in_0 geometricis_0 terrarum_0 linearumque_0 mensuras_0 colligere_0 ,_0 in_0 astrologiis_0 cursus_0 siderum_0 contemplare_0 ,_0 in_0 arithmeticis_0 numerorum_0 partes_0 colligere_0 ,_0 in_0 armoniis_0 sonorum_0 modulationes_0 suavium_0 accentuum_0 carminibus_0 concrepare_0 ;_0
0	suavissimus	Terror_0 namque_0 ibidem_0 Dei_GEO-B et_0 claritas_0 magna_0 conspicitur_0 ,_0 et_0 vere_0 plerumque_0 inibi_0 odor_0 suavissimus_0 quasi_0 aromatum_0 advenire_0 a_0 religiosis_0 sentitur_0 ._0
GRP-B	Suavos	Bellum_0 inter_0 Saxonis_GRP-B et_0 Suavos_GRP-B ._0
GRP-B	Suavos	Et_0 quia_0 tempore_0 illo_0 ,_0 quo_0 Alboenus_PRS-B in_0 Italia_GEO-B ingressus_0 est_0 ,_0 Chlothacharius_PRS-B et_0 Sigyberthus_PRS-B Suavos_GRP-B et_0 alias_0 gentes_0 in_0 loco_0 illo_0 posuerunt_0 ,_0 hi_0 qui_0 tempore_0 Sigyberthi_PRS-B regressi_0 sunt_0 ,_0 id_0 est_0 qui_0 cum_0 Alboeno_PRS-B fuerant_0 ,_0 contra_0 hos_0 consurgunt_0 ,_0 volentes_0 eos_0 a_0 regione_0 illa_0 extrudere_0 ac_0 delere_0 ._0
GRP-B	Suavorum	Et_0 inter_0 se_0 ante_0 certamen_0 ,_0 qualiter_0 uxores_0 Suavorum_GRP-B deviderent_0 et_0 qui_0 quam_0 post_0 eorum_0 exitu_0 acciperet_0 ,_0 tractant_0 ,_0 potantes_0 ,_0 eos_0 iam_0 quasi_0 interfectus_0 habere_0 ._0
0	Suavorum	Suavorum_0 quoque_0 VI_0 milia_0 ,_0 ex_0 quibus_0 quadringenti_0 octuagenta_0 tantum_0 prostrati_0 sunt_0 ,_0 reliqui_0 vero_0 victuriam_0 obtenuerunt_0 ._0
0	suavitatis	Stans_0 igitur_0 in_0 loco_0 in_0 quo_0 iussus_0 sum_0 ,_0 operuit_0 me_0 odor_0 nimiae_0 suavitatis_0 ,_0 ita_0 ut_0 ,_0 ab_0 hac_0 suavitate_0 refectus_0 ,_0 nullum_0 adhuc_0 cybum_0 potumque_0 desiderarem_0 ._0
0	suavitate	Stans_0 igitur_0 in_0 loco_0 in_0 quo_0 iussus_0 sum_0 ,_0 operuit_0 me_0 odor_0 nimiae_0 suavitatis_0 ,_0 ita_0 ut_0 ,_0 ab_0 hac_0 suavitate_0 refectus_0 ,_0 nullum_0 adhuc_0 cybum_0 potumque_0 desiderarem_0 ._0
0	suavitatis	Ecce_0 enim_0 odor_0 suavitatis_0 ,_0 quam_0 de_0 loco_0 sancto_0 hauseram_0 ,_0 et_0 in_0 quo_0 per_0 hoc_0 triduum_0 sine_0 ullo_0 cybo_0 potuque_0 sustentatus_0 sum_0 ,_0 recessit_0 a_0 me._0 Sed_0 et_0 lingua_0 mea_0 gravibus_0 est_0 operta_0 vulneribus_0 et_0 ita_0 tumefacta_0 ,_0 ut_0 omne_0 os_0 meum_0 videatur_0 implere_0 ._0
